"Domain Zone","# of domains","In Public Suffix","Whois","% of TLD"
"com.tj","5","Yes","No","<1% of tj"
"com.to","7","Yes","Yes","<1% of to"
"com.tr","209944","Yes","Yes","84% of tr"
"com.tw","114059","Yes","Yes","62% of tw"
"com.ua","247825","Yes","Yes","64% of ua"
"com.ug","1","Yes","Yes","<1% of ug"
"com.uy","12172","Yes","Yes","95% of uy"
"com.ve","8927","Yes","Yes","97% of ve"
"com.vi","1","Yes","No","<1% of vi"
"com.vn","52542","Yes","No","35% of vn"
"com.ws","239","Yes","Yes","<1% of ws"
"coop.br","467","Yes","Yes","<1% of br"
"cq.cn","947","Yes","No","<1% of cn"
"cri.nz","8","Yes","Yes","<1% of nz"
"ct.us","45","Yes","Yes","<1% of us"
"cv.ua","961","Yes","Yes","<1% of ua"
"czest.pl","1105","Yes","Yes","<1% of pl"
"d.se","11","Yes","Yes","<1% of se"
"dagestan.ru","111","Yes","Yes","<1% of ru"
"dagestan.su","2","Yes","Yes","<1% of su"
"dc.us","3","Yes","Yes","<1% of us"
"de.com","677953","Yes","No","1% of com"
"de.us","10","Yes","Yes","<1% of us"
"dep.no","105","Yes","Yes","<1% of no"
"dn.ua","3146","Yes","Yes","1% of ua"
"dni.us","3","Yes","Yes","<1% of us"
"dp.ua","6585","Yes","Yes","2% of ua"
"dr.tr","24","Yes","Yes","<1% of tr"
"e.se","24","Yes","Yes","<1% of se"
"east-kazakhstan.su","2","No","Yes","<1% of su"
"ed.jp","4281","Yes","Yes","<1% of jp"
"edu.ac","1","Yes","Yes","<1% of ac"
"edu.ar","1815","Yes","No","<1% of ar"
"edu.au","2627","Yes","Yes","<1% of au"
"edu.bi","1","Yes","No","<1% of bi"
"edu.bm","2","Yes","No","<1% of bm"
"edu.br","2026","Yes","Yes","<1% of br"
"edu.ci","8","Yes","No","<1% of ci"
"edu.cn","2715","Yes","No","<1% of cn"
"edu.co","3412","Yes","Yes","<1% of co"
"edu.dm","2","Yes","Yes","1% of dm"
"edu.es","167","Yes","Yes","<1% of es"
"edu.et","83","Yes","No","18% of et"
"edu.gi","3","Yes","No","1% of gi"
"edu.gl","2","Yes","Yes","<1% of gl"
"edu.gr","745","Yes","Yes","<1% of gr"
"edu.gy","4","Yes","Yes","<1% of gy"
"edu.hn","36","Yes","Yes","3% of hn"
"edu.in","2795","Yes","Yes","<1% of in"
"edu.ki","2","Yes","Yes","4% of ki"
"edu.km","1","Yes","No","1% of km"
"edu.kn","3","Yes","No","6% of kn"
"edu.kp","2","Yes","No","10% of kp"
"edu.krd","27","Yes","Yes","8% of krd"
"edu.lc","5","Yes","No","1% of lc"
"edu.lr","4","Yes","No","3% of lr"
"edu.me","47","Yes","No","<1% of me"
"edu.mg","4","Yes","Yes","<1% of mg"
"edu.ml","5","Yes","Yes","<1% of ml"
"edu.mw","2","Yes","No","<1% of mw"
"edu.mx","5403","Yes","Yes","1% of mx"
"edu.my","1963","Yes","No","1% of my"
"edu.pf","3","Yes","No","<1% of pf"
"edu.pl","8482","Yes","Yes","1% of pl"
"edu.pr","3","Yes","Yes","1% of pr"
"edu.pt","7289","Yes","Yes","4% of pt"
"edu.sb","5","Yes","Yes","17% of sb"
"edu.sc","9","Yes","Yes","<1% of sc"
"edu.sg","625","Yes","Yes","1% of sg"
"edu.tm","2","Yes","No","1% of tm"
"edu.tr","379","Yes","Yes","<1% of tr"
"edu.tw","467","Yes","Yes","<1% of tw"
"edu.ua","301","Yes","Yes","<1% of ua"
"edu.vn","9442","Yes","No","6% of vn"
"edu.vu","5","Yes","No","1% of vu"
"edu.ws","15","Yes","Yes","<1% of ws"
"elblag.pl","863","Yes","Yes","<1% of pl"
"elk.pl","1013","Yes","Yes","<1% of pl"
"eng.br","3037","Yes","Yes","<1% of br"
"es.kr","3067","Yes","Yes","1% of kr"
"esp.br","589","Yes","Yes","<1% of br"
"etc.br","449","Yes","Yes","<1% of br"
"eti.br","1726","Yes","Yes","<1% of br"
"exnet.su","9","No","Yes","<1% of su"
"f.se","18","Yes","Yes","<1% of se"
"fed.us","6","Yes","Yes","<1% of us"
"fh.se","15","Yes","Yes","<1% of se"
"fhsk.se","66","Yes","Yes","<1% of se"
"firm.in","2010","Yes","Yes","<1% of in"
"firm.ro","28","Yes","Yes","<1% of ro"
"fj.cn","817","Yes","No","<1% of cn"
"fl.us","135","Yes","Yes","<1% of us"
"fm.br","232","Yes","Yes","<1% of br"
"fot.br","617","Yes","Yes","<1% of br"
"fukuoka.jp","130","Yes","Yes","<1% of jp"
"g.se","12","Yes","Yes","<1% of se"
"g12.br","436","Yes","Yes","<1% of br"
"ga.us","81","Yes","Yes","<1% of us"
"game.tw","106","Yes","Yes","<1% of tw"
"gc.ca","1708","Yes","Yes","<1% of ca"
"gd.cn","1309","Yes","No","<1% of cn"
"gda.pl","1164","Yes","Yes","<1% of pl"
"gdansk.pl","265","Yes","Yes","<1% of pl"
"gdynia.pl","257","Yes","Yes","<1% of pl"
"gedo.se","11","No","Yes","<1% of se"
"geek.nz","419","Yes","Yes","<1% of nz"
"gen.in","1981","Yes","Yes","<1% of in"
"gen.nz","466","Yes","Yes","<1% of nz"
"gen.tr","11638","Yes","Yes","5% of tr"
